collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-09-19 02:47:44,A1100043,강동경희대학교병원,20260919024517,5,,,17,2,161,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100014,고려대학교의과대학부속구로병원,20260919024131,19,3,1,24,-2,127,Y,Y,Y,Y,Y,29
2026-09-19 02:47:44,A1100013,한양대학교병원,20260919024259,15,1,,15,-2,209,Y,Y,Y,Y,Y,20
2026-09-19 02:47:44,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260919024157,16,1,4,25,-1,158,Y,Y,Y,Y,Y,30
2026-09-19 02:47:44,A1100005,이화여자대학교의과대학부속목동병원,20260919024041,12,1,1,13,15,80,Y,Y,Y,Y,Y,19
2026-09-19 02:47:44,A1100017,서울대학교병원,20260919014322,-2,0,7,53,9,189,Y,Y,Y,Y,Y,24
2026-09-19 02:47:44,A1100035,서울특별시서울의료원,20260919024500,17,0,,10,2,132,Y,Y,Y,Y,Y,19
2026-09-19 02:47:44,A1100015,연세대학교의과대학강남세브란스병원,20260919024410,6,,,23,0,172,Y,Y,Y,Y,Y,21
2026-09-19 02:47:44,A1100010,삼성서울병원,20260919024502,2,5,11,46,3,206,Y,Y,Y,Y,Y,52
2026-09-19 02:47:44,A1100028,성심의료재단강동성심병원,20260919024342,9,0,,13,2,158,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100053,한국보훈복지의료공단 중앙보훈병원,20260919024050,20,3,6,13,,161,Y,Y,Y,Y,Y,22
2026-09-19 02:47:44,A1120796,이화여자대학교의과대학부속서울병원,20260919024050,8,1,7,19,4,154,Y,Y,Y,Y,Y,14
2026-09-19 02:47:44,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260919024510,14,,,7,,28,Y,Y,Y,Y,Y,18
2026-09-19 02:47:44,A1100002,건국대학교병원,20260919024314,7,9,2,21,-1,173,Y,Y,Y,Y,Y,20
2026-09-19 02:47:44,A1100016,인제대학교상계백병원,20260919024523,5,0,1,13,1,84,Y,Y,Y,Y,Y,16
2026-09-19 02:47:44,A1100048,노원을지대학교병원,20260919024102,14,0,8,11,4,224,Y,Y,Y,Y,Y,17
2026-09-19 02:47:44,A1100020,의료법인한전의료재단 한일병원,20260919024502,16,,,8,,93,Y,Y,Y,Y,Y,21
2026-09-19 02:47:44,A1100001,경희대학교병원,20260919024525,14,,,16,2,183,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100021,삼육서울병원,20260919024315,13,,,5,4,101,Y,Y,Y,Y,Y,13
2026-09-19 02:47:44,A1100040,서울특별시보라매병원,20260919024500,25,6,11,14,2,204,Y,Y,Y,Y,Y,31
2026-09-19 02:47:44,A1100003,중앙대학교병원,20260919024508,17,2,2,16,0,178,Y,Y,Y,Y,Y,22
2026-09-19 02:47:44,A1100007,연세대학교의과대학세브란스병원,20260919024422,7,16,7,1,16,379,Y,Y,Y,Y,Y,39
2026-09-19 02:47:44,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260919024511,8,10,13,32,11,136,Y,Y,Y,Y,Y,28
2026-09-19 02:47:44,A1100009,재단법인아산사회복지재단서울아산병원,20260919024315,-3,1,4,4,18,231,Y,Y,Y,Y,Y,36
2026-09-19 02:47:44,A1100011,가톨릭대학교여의도성모병원,20260919024510,12,2,0,13,,60,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100055,한림대학교강남성심병원,20260919024041,18,0,10,13,0,177,Y,Y,Y,Y,Y,20
2026-09-19 02:47:44,A1100054,성애의료재단성애병원,20260919024401,10,,,5,4,62,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100004,순천향대학교부속서울병원,20260919024522,10,,,14,2,147,Y,Y,Y,Y,Y,20
2026-09-19 02:47:44,A1121013,가톨릭대학교은평성모병원,20260919024510,19,0,0,19,2,230,Y,Y,Y,Y,Y,24
2026-09-19 02:47:44,A1100006,강북삼성병원,20260919024532,6,,1,16,0,93,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100052,국립중앙의료원,20260919024304,10,,0,7,,0,Y,Y,Y,Y,Y,15
2026-09-19 02:47:44,A1100036,부민병원,20260919024535,8,,,8,,56,Y,Y,Y,Y,Y,10
2026-09-19 02:47:44,A1100051,혜민병원,20260919024123,8,,,5,,8,Y,Y,N1,Y,Y,9
2026-09-19 02:47:44,A1100026,구로성심병원,20260919024535,6,,,3,,33,Y,Y,N1,Y,Y,9
2026-09-19 02:47:44,A1100049,희명병원,20260919024346,8,,,4,,130,Y,Y,N1,Y,Y,10
