collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-09-09 02:21:24,A1100043,강동경희대학교병원,20260909022017,10,,,17,1,134,Y,Y,Y,Y,Y,15
2026-09-09 02:21:24,A1100014,고려대학교의과대학부속구로병원,20260909021952,10,0,0,23,0,-3,Y,Y,Y,Y,Y,29
2026-09-09 02:21:24,A1100013,한양대학교병원,20260909021820,16,3,,16,2,147,Y,Y,Y,Y,Y,20
2026-09-09 02:21:24,A1100008,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),20260909022005,12,0,2,25,0,32,Y,Y,Y,Y,Y,30
2026-09-09 02:21:24,A1100005,이화여자대학교의과대학부속목동병원,20260909022033,12,0,1,13,10,54,Y,Y,Y,Y,Y,19
2026-09-09 02:21:24,A1100017,서울대학교병원,20260909021939,-4,1,3,52,5,60,Y,Y,Y,Y,Y,24
2026-09-09 02:21:24,A1100035,서울특별시서울의료원,20260909022000,11,5,,10,3,100,Y,Y,Y,Y,Y,19
2026-09-09 02:21:24,A1100015,연세대학교의과대학강남세브란스병원,20260909021658,4,,,22,1,65,Y,Y,Y,Y,Y,21
2026-09-09 02:21:24,A1100010,삼성서울병원,20260909021938,-22,8,2,46,3,110,Y,Y,Y,Y,Y,52
2026-09-09 02:21:24,A1100028,성심의료재단강동성심병원,20260909021906,10,-1,,13,2,122,Y,Y,Y,Y,Y,15
2026-09-09 02:21:24,A1100053,한국보훈복지의료공단 중앙보훈병원,20260909022027,17,4,7,13,,105,Y,Y,Y,Y,Y,22
2026-09-09 02:21:24,A1120796,이화여자대학교의과대학부속서울병원,20260909021542,0,0,9,18,4,122,Y,Y,Y,Y,Y,14
2026-09-09 02:21:24,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260909022010,14,,,7,,15,Y,Y,Y,Y,Y,18
2026-09-09 02:21:24,A1100002,건국대학교병원,20260909021605,9,9,5,21,-1,84,Y,Y,Y,Y,Y,20
2026-09-09 02:21:24,A1100016,인제대학교상계백병원,20260909021629,10,2,3,13,1,26,Y,Y,Y,Y,Y,16
2026-09-09 02:21:24,A1100048,노원을지대학교병원,20260909021602,13,-1,0,11,3,196,Y,Y,Y,Y,Y,17
2026-09-09 02:21:24,A1100020,의료법인한전의료재단 한일병원,20260909022003,14,,,8,,79,Y,Y,Y,Y,Y,21
2026-09-09 02:21:24,A1100001,경희대학교병원,20260909022031,11,,,16,-1,104,Y,Y,Y,Y,Y,15
2026-09-09 02:21:24,A1100021,삼육서울병원,20260909021602,13,,,5,4,62,Y,Y,Y,Y,Y,13
2026-09-09 02:21:24,A1100040,서울특별시보라매병원,20260909022000,21,2,13,14,3,129,Y,Y,Y,Y,Y,31
