collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-08-17 02:21:25,A1100043,강동경희대학교병원,20260817022016,6,,,17,4,235,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100014,고려대학교의과대학부속구로병원,20260817021953,12,0,1,24,-1,194,Y,Y,Y,Y,Y,29
2026-08-17 02:21:25,A1100013,한양대학교병원,20260817021807,15,6,5,16,3,263,Y,Y,Y,Y,Y,20
2026-08-17 02:21:25,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260817021634,18,0,3,25,3,273,Y,Y,Y,Y,Y,30
2026-08-17 02:21:25,A1100005,이화여자대학교의과대학부속목동병원,20260817021609,13,1,7,13,11,144,Y,Y,Y,Y,Y,19
2026-08-17 02:21:25,A1100017,서울대학교병원,20260817021945,-4,1,3,53,6,431,Y,Y,Y,Y,Y,24
2026-08-17 02:21:25,A1100035,서울특별시서울의료원,20260817022000,12,2,,10,3,133,Y,Y,Y,Y,Y,19
2026-08-17 02:21:25,A1100015,연세대학교의과대학강남세브란스병원,20260817021619,9,,,23,0,205,Y,Y,Y,Y,Y,21
2026-08-17 02:21:25,A1100010,삼성서울병원,20260817021902,-11,9,19,46,1,467,Y,Y,Y,Y,Y,52
2026-08-17 02:21:25,A1100028,성심의료재단강동성심병원,20260817021635,8,0,,13,2,154,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100053,한국보훈복지의료공단중앙보훈병원,20260817021934,19,9,10,13,,145,Y,Y,Y,Y,Y,22
2026-08-17 02:21:25,A1120796,이화여자대학교의과대학부속서울병원,20260817021705,7,1,7,17,5,197,Y,Y,Y,Y,Y,14
2026-08-17 02:21:25,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260817022011,8,,,7,,62,Y,Y,Y,Y,Y,18
2026-08-17 02:21:25,A1100002,건국대학교병원,20260817021801,14,6,7,21,0,274,Y,Y,Y,Y,Y,20
2026-08-17 02:21:25,A1100016,인제대학교상계백병원,20260817021637,12,1,3,13,2,92,Y,Y,Y,Y,Y,16
2026-08-17 02:21:25,A1100048,노원을지대학교병원,20260817021603,14,0,6,11,1,259,Y,Y,Y,Y,Y,17
2026-08-17 02:21:25,A1100020,의료법인한전의료재단한일병원,20260817022003,17,,,8,,109,Y,Y,Y,Y,Y,21
2026-08-17 02:21:25,A1100001,경희대학교병원,20260817022039,8,,,16,2,188,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100021,삼육서울병원,20260817021900,8,,,5,4,58,Y,Y,Y,Y,Y,13
2026-08-17 02:21:25,A1100040,서울특별시보라매병원,20260817022000,9,3,8,14,2,263,Y,Y,Y,Y,Y,31
2026-08-17 02:21:25,A1100003,중앙대학교병원,20260817022008,8,0,0,16,0,203,Y,Y,Y,Y,Y,22
2026-08-17 02:21:25,A1100007,연세대학교의과대학세브란스병원,20260817021832,9,3,9,1,9,678,Y,Y,Y,Y,Y,39
2026-08-17 02:21:25,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260817022013,-8,9,14,32,7,355,Y,Y,Y,Y,Y,28
2026-08-17 02:21:25,A1100009,재단법인아산사회복지재단서울아산병원,20260817021915,14,0,10,4,11,495,Y,Y,Y,Y,Y,36
2026-08-17 02:21:25,A1100011,가톨릭대학교여의도성모병원,20260817022014,14,-1,0,13,,122,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100055,한림대학교강남성심병원,20260817021703,17,0,5,14,0,202,Y,Y,Y,Y,Y,20
2026-08-17 02:21:25,A1100054,성애의료재단성애병원,20260817021909,12,,,5,3,63,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100004,순천향대학교부속서울병원,20260817021824,18,,,14,-2,183,Y,Y,Y,Y,Y,20
2026-08-17 02:21:25,A1121013,가톨릭대학교은평성모병원,20260817022013,13,1,7,19,7,235,Y,Y,Y,Y,Y,24
2026-08-17 02:21:25,A1100006,강북삼성병원,20260817022022,8,,3,16,0,154,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100052,국립중앙의료원,20260817021904,14,,0,7,,0,Y,Y,Y,Y,Y,15
2026-08-17 02:21:25,A1100036,부민병원,20260817021533,8,,,8,,12,Y,Y,Y,Y,Y,10
2026-08-17 02:21:25,A1100051,혜민병원,20260817022033,9,,,5,,16,Y,Y,N1,Y,Y,9
2026-08-17 02:21:25,A1100026,구로성심병원,20260817021917,7,,,3,,65,Y,Y,N1,Y,Y,9
2026-08-17 02:21:25,A1100049,희명병원,20260817022012,10,,,4,,109,Y,Y,N1,Y,Y,10
2026-08-17 02:21:25,A1100027,한국원자력의학원원자력병원,20260817022014,8,,,10,,293,Y,Y,Y,Y,Y,9
2026-08-17 02:21:25,A1100022,서울특별시동부병원,20260817022020,7,,,3,,24,Y,Y,N1,Y,Y,8
2026-08-17 02:21:25,A1100050,서울성심병원,20260817022032,17,,,6,,78,Y,Y,N1,Y,Y,17
2026-08-17 02:21:25,A1100025,의료법인동신의료재단동신병원,20260817021850,6,,,3,,54,Y,Y,N1,Y,Y,9
2026-08-17 02:21:25,A1122033,기쁨병원,20260817021931,4,,,8,,67,Y,Y,Y,Y,Y,4
2026-08-17 02:21:25,A1100039,경찰병원,20260817022002,2,,,7,,139,Y,Y,N1,Y,Y,3
2026-08-17 02:21:25,A1100019,홍익병원,20260817021815,8,,,4,,51,Y,Y,Y,Y,Y,9
2026-08-17 02:21:25,A1100223,서울특별시서남병원,20260817022000,17,,,4,,56,Y,Y,N1,Y,Y,17
2026-08-17 02:21:25,A1100024,명지성모병원,20260817021944,8,,,3,,84,Y,Y,Y,Y,Y,8
2026-08-17 02:21:25,A1100037,대림성모병원,20260817022032,7,,,4,,42,Y,Y,N1,Y,Y,8
2026-08-17 02:21:25,A1100045,씨엠병원,20260817021500,9,,,5,,39,Y,Y,N1,Y,Y,9
2026-08-17 02:21:25,A1100023,의료법인청구성심병원,20260817021825,8,,,3,,19,Y,Y,N1,Y,Y,10
2026-08-17 02:21:25,A1100029,서울적십자병원,20260817021906,9,,,6,,65,Y,Y,N1,Y,Y,10
2026-08-17 02:21:25,A1100032,세란병원,20260817021852,10,,,13,,46,Y,Y,N1,Y,Y,10
2026-08-17 02:21:25,A1100075,의료법인풍산의료재단동부제일병원,20260817021531,7,,,2,,47,Y,N,N1,Y,Y,7
2026-08-17 02:21:25,A1100044,녹색병원,20260817022009,4,,,3,,95,Y,Y,N1,Y,Y,5
2026-08-17 02:21:25,A1100030,의료법인성화의료재단대한병원,20210602182749,5,,,3,,54,Y,Y,Y,Y,Y,7
2026-08-17 02:21:25,A1100047,강남고려병원,20180503175041,10,,,3,,73,N,N1,N1,N,Y,10
2026-08-17 02:21:25,A1100038,한림대학교한강성심병원,20191119122409,30,,,5,,6,Y,Y,Y,Y,Y,30
2026-08-17 02:21:25,A1100152,은평연세병원,20180706100009,6,,,4,,,Y,Y,N1,Y,Y,6
2026-08-17 02:46:48,A1100043,강동경희대학교병원,20260817024517,8,,,17,4,235,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100014,고려대학교의과대학부속구로병원,20260817024034,15,0,1,24,-1,194,Y,Y,Y,Y,Y,29
2026-08-17 02:46:48,A1100013,한양대학교병원,20260817024301,14,6,5,16,3,263,Y,Y,Y,Y,Y,20
2026-08-17 02:46:48,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260817024447,19,0,3,25,3,273,Y,Y,Y,Y,Y,30
2026-08-17 02:46:48,A1100005,이화여자대학교의과대학부속목동병원,20260817024109,14,1,7,13,11,144,Y,Y,Y,Y,Y,19
2026-08-17 02:46:48,A1100017,서울대학교병원,20260817024445,-2,1,3,53,6,431,Y,Y,Y,Y,Y,24
2026-08-17 02:46:48,A1100035,서울특별시서울의료원,20260817024501,12,2,,10,3,133,Y,Y,Y,Y,Y,19
2026-08-17 02:46:48,A1100015,연세대학교의과대학강남세브란스병원,20260817024119,11,,,23,0,205,Y,Y,Y,Y,Y,21
2026-08-17 02:46:48,A1100010,삼성서울병원,20260817024305,-11,9,19,46,1,467,Y,Y,Y,Y,Y,52
2026-08-17 02:46:48,A1100028,성심의료재단강동성심병원,20260817024156,8,0,,13,2,153,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100053,한국보훈복지의료공단중앙보훈병원,20260817024434,19,9,10,13,,146,Y,Y,Y,Y,Y,22
2026-08-17 02:46:48,A1120796,이화여자대학교의과대학부속서울병원,20260817024205,5,1,7,17,5,197,Y,Y,Y,Y,Y,14
2026-08-17 02:46:48,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260817024510,11,,,7,,62,Y,Y,Y,Y,Y,18
2026-08-17 02:46:48,A1100002,건국대학교병원,20260817024301,15,6,7,21,0,274,Y,Y,Y,Y,Y,20
2026-08-17 02:46:48,A1100016,인제대학교상계백병원,20260817024141,14,1,3,13,2,92,Y,Y,Y,Y,Y,16
2026-08-17 02:46:48,A1100048,노원을지대학교병원,20260817024102,15,0,6,11,1,259,Y,Y,Y,Y,Y,17
2026-08-17 02:46:48,A1100020,의료법인한전의료재단한일병원,20260817024503,15,,,8,,109,Y,Y,Y,Y,Y,21
2026-08-17 02:46:48,A1100001,경희대학교병원,20260817024520,9,,,16,2,188,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100021,삼육서울병원,20260817024435,9,,,5,4,57,Y,Y,Y,Y,Y,13
2026-08-17 02:46:48,A1100040,서울특별시보라매병원,20260817024500,8,3,8,14,2,263,Y,Y,Y,Y,Y,31
2026-08-17 02:46:48,A1100003,중앙대학교병원,20260817024508,10,0,0,16,0,203,Y,Y,Y,Y,Y,22
2026-08-17 02:46:48,A1100007,연세대학교의과대학세브란스병원,20260817024333,7,3,9,1,9,676,Y,Y,Y,Y,Y,39
2026-08-17 02:46:48,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260817024511,-8,9,14,32,7,355,Y,Y,Y,Y,Y,28
2026-08-17 02:46:48,A1100009,재단법인아산사회복지재단서울아산병원,20260817024315,14,0,10,4,11,495,Y,Y,Y,Y,Y,36
2026-08-17 02:46:48,A1100011,가톨릭대학교여의도성모병원,20260817024510,14,-1,0,13,,122,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100055,한림대학교강남성심병원,20260817024203,18,0,5,14,0,202,Y,Y,Y,Y,Y,20
2026-08-17 02:46:48,A1100054,성애의료재단성애병원,20260817024300,12,,,5,3,63,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100004,순천향대학교부속서울병원,20260817024522,18,,,14,-2,183,Y,Y,Y,Y,Y,20
2026-08-17 02:46:48,A1121013,가톨릭대학교은평성모병원,20260817024510,11,1,7,19,7,235,Y,Y,Y,Y,Y,24
2026-08-17 02:46:48,A1100006,강북삼성병원,20260817024527,8,,3,16,0,154,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100052,국립중앙의료원,20260817024304,13,,0,7,,0,Y,Y,Y,Y,Y,15
2026-08-17 02:46:48,A1100036,부민병원,20260817024148,10,,,8,,12,Y,Y,Y,Y,Y,10
2026-08-17 02:46:48,A1100051,혜민병원,20260817024537,9,,,5,,16,Y,Y,N1,Y,Y,9
2026-08-17 02:46:48,A1100026,구로성심병원,20260817024530,7,,,3,,64,Y,Y,N1,Y,Y,9
2026-08-17 02:46:48,A1100049,희명병원,20260817024428,10,,,4,,109,Y,Y,N1,Y,Y,10
2026-08-17 02:46:48,A1100027,한국원자력의학원원자력병원,20260817024514,8,,,10,,293,Y,Y,Y,Y,Y,9
2026-08-17 02:46:48,A1100022,서울특별시동부병원,20260817024520,8,,,3,,24,Y,Y,N1,Y,Y,8
2026-08-17 02:46:48,A1100050,서울성심병원,20260817024449,17,,,6,,78,Y,Y,N1,Y,Y,17
2026-08-17 02:46:48,A1100025,의료법인동신의료재단동신병원,20260817024403,8,,,3,,53,Y,Y,N1,Y,Y,9
2026-08-17 02:46:48,A1122033,기쁨병원,20260817024512,4,,,8,,67,Y,Y,Y,Y,Y,4
