collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-06-30 02:40:35,A1100043,강동경희대학교병원,20260630023518,3,,,17,6,129,Y,Y,Y,Y,Y,15
2026-06-30 02:40:35,A1100014,고려대학교의과대학부속구로병원,20260630023423,5,0,1,24,1,3,Y,Y,Y,Y,Y,29
2026-06-30 02:40:35,A1100013,한양대학교병원,20260630023300,15,1,3,16,6,147,Y,Y,Y,Y,Y,20
2026-06-30 02:40:35,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260630023450,15,3,4,24,1,23,Y,Y,Y,Y,Y,30
2026-06-30 02:40:35,A1100005,이화여자대학교의과대학부속목동병원,20260630023522,11,0,1,13,13,53,Y,Y,Y,Y,Y,19
2026-06-30 02:40:35,A1100017,서울대학교병원,20260630023532,-3,2,4,53,5,70,Y,Y,Y,Y,Y,24
2026-06-30 02:40:35,A1100035,서울특별시서울의료원,20260630023500,14,2,,10,3,93,Y,Y,Y,Y,Y,19
2026-06-30 02:40:35,A1100015,연세대학교의과대학강남세브란스병원,20260630023212,3,,,23,1,52,Y,Y,Y,Y,Y,21
2026-06-30 02:40:35,A1100010,삼성서울병원,20260630023521,-21,8,6,53,4,106,Y,Y,Y,Y,Y,52
2026-06-30 02:40:35,A1100028,성심의료재단강동성심병원,20260630023309,9,0,,13,3,131,Y,Y,Y,Y,Y,15
2026-06-30 02:40:35,A1100053,한국보훈복지의료공단중앙보훈병원,20260630023244,17,4,6,14,,97,Y,Y,Y,Y,Y,22
2026-06-30 02:40:35,A1120796,이화여자대학교의과대학부속서울병원,20260630023117,8,0,8,19,3,69,Y,Y,Y,Y,Y,14
2026-06-30 02:40:35,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260630023510,15,,,7,,43,Y,Y,Y,Y,Y,18
2026-06-30 02:40:35,A1100002,건국대학교병원,20260630023244,7,6,11,21,1,141,Y,Y,Y,Y,Y,20
2026-06-30 02:40:35,A1100016,인제대학교상계백병원,20260630023137,12,2,2,13,6,68,Y,Y,Y,Y,Y,16
