collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-06-15 01:07:01,A1100043,강동경희대학교병원,20260615010521,11,,,17,3,229,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100014,고려대학교의과대학부속구로병원,20260615010123,11,0,1,23,2,58,Y,Y,Y,Y,Y,29
2026-06-15 01:07:01,A1100013,한양대학교병원,20260615010259,15,3,6,16,4,219,Y,Y,Y,Y,Y,20
2026-06-15 01:07:01,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260615010501,15,0,1,25,0,109,Y,Y,Y,Y,Y,30
2026-06-15 01:07:01,A1100005,이화여자대학교의과대학부속목동병원,20260615010505,12,0,8,13,8,37,Y,Y,Y,Y,Y,19
2026-06-15 01:07:01,A1100017,서울대학교병원,20260615010534,-3,0,9,53,7,147,Y,Y,Y,Y,Y,24
2026-06-15 01:07:01,A1100035,서울특별시서울의료원,20260615010500,4,0,,9,2,85,Y,Y,Y,Y,Y,19
2026-06-15 01:07:01,A1100015,연세대학교의과대학강남세브란스병원,20260615010122,10,,,23,0,79,Y,Y,Y,Y,Y,21
2026-06-15 01:07:01,A1100010,삼성서울병원,20260615010227,-4,7,14,52,2,176,Y,Y,Y,Y,Y,52
2026-06-15 01:07:01,A1100028,성심의료재단강동성심병원,20260615010226,10,0,,13,3,201,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100053,한국보훈복지의료공단중앙보훈병원,20260615010305,19,7,8,14,,164,Y,Y,Y,Y,Y,22
2026-06-15 01:07:01,A1120796,이화여자대학교의과대학부속서울병원,20260615010101,-3,0,7,19,3,153,Y,Y,Y,Y,Y,14
2026-06-15 01:07:01,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260615010515,6,,,7,,58,Y,Y,Y,Y,Y,18
2026-06-15 01:07:01,A1100002,건국대학교병원,20260615010215,7,4,13,21,-1,200,Y,Y,Y,Y,Y,20
2026-06-15 01:07:01,A1100016,인제대학교상계백병원,20260615010348,7,0,2,13,3,79,Y,Y,Y,Y,Y,16
2026-06-15 01:07:01,A1100048,노원을지대학교병원,20260615010103,11,-1,2,11,1,221,Y,Y,Y,Y,Y,17
2026-06-15 01:07:01,A1100020,의료법인한전의료재단한일병원,20260615010504,13,,,8,,59,Y,Y,Y,Y,Y,21
2026-06-15 01:07:01,A1100001,경희대학교병원,20260615010519,8,,,16,2,207,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100021,삼육서울병원,20260615010144,11,,,5,4,103,Y,Y,Y,Y,Y,13
2026-06-15 01:07:01,A1100040,서울특별시보라매병원,20260615010500,23,3,9,14,5,231,Y,Y,Y,Y,Y,31
2026-06-15 01:07:01,A1100003,중앙대학교병원,20260615010508,13,2,2,16,2,209,Y,Y,Y,Y,Y,18
2026-06-15 01:07:01,A1100007,연세대학교의과대학세브란스병원,20260615010331,2,1,11,3,8,361,Y,Y,Y,Y,Y,39
2026-06-15 01:07:01,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260615010512,8,5,16,32,12,232,Y,Y,Y,Y,Y,28
2026-06-15 01:07:01,A1100009,재단법인아산사회복지재단서울아산병원,20260615010415,11,1,10,4,9,233,Y,Y,Y,Y,Y,36
2026-06-15 01:07:01,A1100011,가톨릭대학교여의도성모병원,20260615010511,11,1,3,13,,69,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100055,한림대학교강남성심병원,20260615010247,15,0,4,14,0,148,Y,Y,Y,Y,Y,20
2026-06-15 01:07:01,A1100054,성애의료재단성애병원,20260615010323,13,,,5,4,49,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100004,순천향대학교부속서울병원,20260615010326,15,,,13,0,137,Y,Y,Y,Y,Y,20
2026-06-15 01:07:01,A1121013,가톨릭대학교은평성모병원,20260615010510,16,0,1,19,6,214,Y,Y,Y,Y,Y,24
2026-06-15 01:07:01,A1100006,강북삼성병원,20260615010525,9,,1,16,2,79,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100052,국립중앙의료원,20260615010404,13,,0,7,,0,Y,Y,Y,Y,Y,15
2026-06-15 01:07:01,A1100036,부민병원,20260615010147,8,,,8,,58,Y,Y,Y,Y,Y,10
2026-06-15 01:07:01,A1100051,혜민병원,20260615010517,7,,,5,,9,Y,Y,N1,Y,Y,9
2026-06-15 01:07:01,A1100026,구로성심병원,20260615010438,5,,,3,,58,Y,Y,N1,Y,Y,9
2026-06-15 01:07:01,A1100049,희명병원,20260615010454,10,,,4,,113,Y,Y,N1,Y,Y,10
2026-06-15 01:07:01,A1100027,한국원자력의학원원자력병원,20260615010358,8,,,10,,238,Y,Y,Y,Y,Y,9
2026-06-15 01:07:01,A1100022,서울특별시동부병원,20260615010520,8,,,3,,46,Y,Y,N1,Y,Y,8
2026-06-15 01:07:01,A1100050,서울성심병원,20260615010510,12,,,6,,81,Y,Y,N1,Y,Y,17
2026-06-15 01:07:01,A1100025,의료법인동신의료재단동신병원,20260615010406,7,,,3,,76,Y,Y,N,Y,Y,9
2026-06-15 01:07:01,A1122033,기쁨병원,20260615010513,3,,,8,,63,Y,Y,Y,Y,Y,4
2026-06-15 01:07:01,A1100039,경찰병원,20260615010502,3,,,7,,134,Y,Y,N1,Y,Y,3
2026-06-15 01:07:01,A1100019,홍익병원,20260615010351,7,,,4,,74,Y,Y,Y,Y,Y,9
2026-06-15 01:07:01,A1100223,서울특별시서남병원,20260615010001,5,,,4,,54,Y,Y,N1,Y,Y,6
2026-06-15 01:07:01,A1100024,명지성모병원,20260615010601,7,,,3,,117,Y,Y,Y,Y,Y,8
2026-06-15 01:07:01,A1100037,대림성모병원,20260615010518,7,,,4,,42,Y,Y,N1,Y,Y,8
2026-06-15 01:07:01,A1100045,씨엠병원,20260615010022,10,,,5,,56,N1,N1,N1,N1,Y,10
2026-06-15 01:07:01,A1100023,의료법인청구성심병원,20260615010432,9,,,3,,28,Y,Y,N1,Y,Y,10
2026-06-15 01:07:01,A1100029,서울적십자병원,20260615010426,10,,,6,,93,Y,Y,N1,Y,Y,10
2026-06-15 01:07:01,A1100032,세란병원,20260615010319,9,,,13,,47,Y,Y,N1,Y,Y,10
2026-06-15 01:07:01,A1100075,의료법인풍산의료재단동부제일병원,20260615010059,7,,,2,,52,Y,N,N1,Y,Y,7
2026-06-15 01:07:01,A1100044,녹색병원,20260615010507,3,,,3,,91,Y,Y,N1,Y,Y,5
2026-06-15 02:58:32,A1100043,강동경희대학교병원,20260615025517,9,,,17,3,229,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100014,고려대학교의과대학부속구로병원,20260615025334,16,0,2,24,2,54,Y,Y,Y,Y,Y,29
2026-06-15 02:58:32,A1100013,한양대학교병원,20260615025259,17,3,6,16,4,217,Y,Y,Y,Y,Y,20
2026-06-15 02:58:32,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260615025507,17,0,1,25,0,109,Y,Y,Y,Y,Y,30
2026-06-15 02:58:32,A1100005,이화여자대학교의과대학부속목동병원,20260615025505,13,0,8,13,8,35,Y,Y,Y,Y,Y,19
2026-06-15 02:58:32,A1100017,서울대학교병원,20260615025534,-1,0,9,52,7,147,Y,Y,Y,Y,Y,24
2026-06-15 02:58:32,A1100035,서울특별시서울의료원,20260615025502,9,0,,10,2,85,Y,Y,Y,Y,Y,19
2026-06-15 02:58:32,A1100015,연세대학교의과대학강남세브란스병원,20260615025123,9,,,23,0,77,Y,Y,Y,Y,Y,21
2026-06-15 02:58:32,A1100010,삼성서울병원,20260615025451,-13,7,14,53,2,176,Y,Y,Y,Y,Y,52
2026-06-15 02:58:32,A1100028,성심의료재단강동성심병원,20260615025403,11,0,,13,3,200,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100053,한국보훈복지의료공단중앙보훈병원,20260615025305,19,7,8,14,,164,Y,Y,Y,Y,Y,22
2026-06-15 02:58:32,A1120796,이화여자대학교의과대학부속서울병원,20260615025101,3,0,7,19,3,152,Y,Y,Y,Y,Y,14
2026-06-15 02:58:32,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260615025510,8,,,7,,57,Y,Y,Y,Y,Y,18
2026-06-15 02:58:32,A1100002,건국대학교병원,20260615025215,8,4,13,21,-1,199,Y,Y,Y,Y,Y,20
2026-06-15 02:58:32,A1100016,인제대학교상계백병원,20260615025405,10,0,2,13,3,77,Y,Y,Y,Y,Y,16
2026-06-15 02:58:32,A1100048,노원을지대학교병원,20260615025102,15,-1,2,11,1,220,Y,Y,Y,Y,Y,17
2026-06-15 02:58:32,A1100020,의료법인한전의료재단한일병원,20260615025503,16,,,8,,59,Y,Y,Y,Y,Y,21
2026-06-15 02:58:32,A1100001,경희대학교병원,20260615025518,11,,,16,2,205,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100021,삼육서울병원,20260615025324,10,,,5,4,102,Y,Y,Y,Y,Y,13
2026-06-15 02:58:32,A1100040,서울특별시보라매병원,20260615025500,22,3,9,14,5,230,Y,Y,Y,Y,Y,31
2026-06-15 02:58:32,A1100003,중앙대학교병원,20260615025508,14,2,2,16,2,208,Y,Y,Y,Y,Y,18
2026-06-15 02:58:32,A1100007,연세대학교의과대학세브란스병원,20260615025336,1,1,11,3,8,360,Y,Y,Y,Y,Y,39
2026-06-15 02:58:32,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260615025511,8,5,16,32,12,231,Y,Y,Y,Y,Y,28
2026-06-15 02:58:32,A1100009,재단법인아산사회복지재단서울아산병원,20260615025515,22,1,10,3,9,225,Y,Y,Y,Y,Y,36
2026-06-15 02:58:32,A1100011,가톨릭대학교여의도성모병원,20260615025510,13,1,3,13,,69,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100055,한림대학교강남성심병원,20260615025247,16,0,4,14,0,147,Y,Y,Y,Y,Y,20
2026-06-15 02:58:32,A1100054,성애의료재단성애병원,20260615025423,12,,,5,4,48,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100004,순천향대학교부속서울병원,20260615025425,15,,,13,0,135,Y,Y,Y,Y,Y,20
2026-06-15 02:58:32,A1121013,가톨릭대학교은평성모병원,20260615025509,15,0,1,19,6,215,Y,Y,Y,Y,Y,24
2026-06-15 02:58:32,A1100006,강북삼성병원,20260615025526,6,,1,16,2,78,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100052,국립중앙의료원,20260615025504,15,,0,7,,0,Y,Y,Y,Y,Y,15
2026-06-15 02:58:32,A1100036,부민병원,20260615025247,9,,,8,,57,Y,Y,Y,Y,Y,10
2026-06-15 02:58:32,A1100051,혜민병원,20260615025235,8,,,5,,8,Y,Y,N1,Y,Y,9
2026-06-15 02:58:32,A1100026,구로성심병원,20260615025344,7,,,3,,57,Y,Y,N1,Y,Y,9
2026-06-15 02:58:32,A1100049,희명병원,20260615025401,10,,,4,,113,Y,Y,N1,Y,Y,10
2026-06-15 02:58:32,A1100027,한국원자력의학원원자력병원,20260615025358,8,,,10,,237,Y,Y,Y,Y,Y,9
2026-06-15 02:58:32,A1100022,서울특별시동부병원,20260615025520,8,,,3,,46,Y,Y,N1,Y,Y,8
2026-06-15 02:58:32,A1100050,서울성심병원,20260615025438,16,,,6,,81,Y,Y,N1,Y,Y,17
